id,name,angle_of_view,elevation,lat,lon
70,haguenau-01,54.2,189.0,48.8221944,7.7798889
71,haguenau-02,54.2,189.0,48.8221944,7.7798889
72,bischwiller-01,54.2,162.0,48.7723611,7.8465
73,bischwiller-02,54.2,167.0,48.7723611,7.8465
74,betschdorf-01,54.2,167.0,48.8974722,7.9106944
76,germersheim-01,54.2,149.0,49.2131080417835,8.36650656033807
77,germersheim-02,54.2,149.0,49.2131080417835,8.36650656033807
40,croix-augas-01,54.2,150.0,48.4267461256,2.7108759097
41,croix-augas-02,54.2,150.0,48.4267461256,2.7108759097
63,nemours-01,54.2,106.0,48.2604833333,2.7063833333
65,nemours-02,54.2,106.0,48.2604833333,2.7063833333
66,moret-sur-loing-01,54.2,92.0,48.37916667,2.820833333
67,moret-sur-loing-02,54.2,92.0,48.37916667,2.820833333
68,videlles-01,54.2,147.0,48.478333333,2.42416667
69,videlles-02,54.2,147.0,48.478333333,2.42416667

